"export","file","line","family","input_preconditions","failure_return","panic_reachability_guess","unwind_guard_present","threading_expectation","phase3_disposition"
"RimeUserConfigOpen","crates\yune-rime-api\src\config_api.rs","62","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeFreeSchemaList","crates\yune-rime-api\src\config_api.rs","80","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigInit","crates\yune-rime-api\src\config_api.rs","96","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigLoadString","crates\yune-rime-api\src\config_api.rs","124","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigClose","crates\yune-rime-api\src\config_api.rs","161","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigGetBool","crates\yune-rime-api\src\config_api.rs","190","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigGetInt","crates\yune-rime-api\src\config_api.rs","217","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigGetDouble","crates\yune-rime-api\src\config_api.rs","244","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigGetString","crates\yune-rime-api\src\config_api.rs","272","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigGetCString","crates\yune-rime-api\src\config_api.rs","295","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigUpdateSignature","crates\yune-rime-api\src\config_api.rs","323","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigSetBool","crates\yune-rime-api\src\config_api.rs","373","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigSetInt","crates\yune-rime-api\src\config_api.rs","388","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigSetDouble","crates\yune-rime-api\src\config_api.rs","402","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigSetString","crates\yune-rime-api\src\config_api.rs","416","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigListAppendBool","crates\yune-rime-api\src\config_api.rs","437","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigListAppendInt","crates\yune-rime-api\src\config_api.rs","452","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigListAppendDouble","crates\yune-rime-api\src\config_api.rs","466","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigListAppendString","crates\yune-rime-api\src\config_api.rs","480","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigGetItem","crates\yune-rime-api\src\config_api.rs","502","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigSetItem","crates\yune-rime-api\src\config_api.rs","539","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigClear","crates\yune-rime-api\src\config_api.rs","563","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigCreateList","crates\yune-rime-api\src\config_api.rs","580","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigCreateMap","crates\yune-rime-api\src\config_api.rs","590","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigListSize","crates\yune-rime-api\src\config_api.rs","600","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigBeginList","crates\yune-rime-api\src\config_api.rs","647","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigBeginMap","crates\yune-rime-api\src\config_api.rs","687","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigNext","crates\yune-rime-api\src\config_api.rs","731","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeConfigEnd","crates\yune-rime-api\src\config_api.rs","798","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetCommit","crates\yune-rime-api\src\context_api.rs","51","librime_abi","caller output/free pointers must be null or valid for documented struct/lifetime","FALSE for invalid read/free where applicable; free functions otherwise no-op","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeGetContext","crates\yune-rime-api\src\context_api.rs","87","librime_abi","caller output/free pointers must be null or valid for documented struct/lifetime","FALSE for invalid read/free where applicable; free functions otherwise no-op","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeGetStatus","crates\yune-rime-api\src\context_api.rs","310","librime_abi","caller output/free pointers must be null or valid for documented struct/lifetime","FALSE for invalid read/free where applicable; free functions otherwise no-op","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeInitialize","crates\yune-rime-api\src\deployment.rs","37","librime_abi","runtime paths initialized; optional task/schema/config pointers valid NUL-terminated strings when non-null","FALSE for failed task/deploy; unit shims return immediately","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeFinalize","crates\yune-rime-api\src\deployment.rs","45","librime_abi","runtime paths initialized; optional task/schema/config pointers valid NUL-terminated strings when non-null","FALSE for failed task/deploy; unit shims return immediately","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeStartMaintenance","crates\yune-rime-api\src\deployment.rs","52","librime_abi","runtime paths initialized; optional task/schema/config pointers valid NUL-terminated strings when non-null","FALSE for failed task/deploy; unit shims return immediately","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeStartMaintenanceOnWorkspaceChange","crates\yune-rime-api\src\deployment.rs","67","librime_abi","runtime paths initialized; optional task/schema/config pointers valid NUL-terminated strings when non-null","FALSE for failed task/deploy; unit shims return immediately","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeIsMaintenancing","crates\yune-rime-api\src\deployment.rs","72","librime_abi","runtime paths initialized; optional task/schema/config pointers valid NUL-terminated strings when non-null","FALSE for failed task/deploy; unit shims return immediately","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeJoinMaintenanceThread","crates\yune-rime-api\src\deployment.rs","77","librime_abi","runtime paths initialized; optional task/schema/config pointers valid NUL-terminated strings when non-null","FALSE for failed task/deploy; unit shims return immediately","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeDeployerInitialize","crates\yune-rime-api\src\deployment.rs","85","librime_abi","runtime paths initialized; optional task/schema/config pointers valid NUL-terminated strings when non-null","FALSE for failed task/deploy; unit shims return immediately","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimePrebuildAllSchemas","crates\yune-rime-api\src\deployment.rs","91","librime_abi","runtime paths initialized; optional task/schema/config pointers valid NUL-terminated strings when non-null","FALSE for failed task/deploy; unit shims return immediately","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeDeployWorkspace","crates\yune-rime-api\src\deployment.rs","96","librime_abi","runtime paths initialized; optional task/schema/config pointers valid NUL-terminated strings when non-null","FALSE for failed task/deploy; unit shims return immediately","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeDeploySchema","crates\yune-rime-api\src\deployment.rs","110","librime_abi","runtime paths initialized; optional task/schema/config pointers valid NUL-terminated strings when non-null","FALSE for failed task/deploy; unit shims return immediately","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeDeployConfigFile","crates\yune-rime-api\src\deployment.rs","118","librime_abi","runtime paths initialized; optional task/schema/config pointers valid NUL-terminated strings when non-null","FALSE for failed task/deploy; unit shims return immediately","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeSyncUserData","crates\yune-rime-api\src\deployment.rs","132","librime_abi","runtime paths initialized; optional task/schema/config pointers valid NUL-terminated strings when non-null","FALSE for failed task/deploy; unit shims return immediately","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeRunTask","crates\yune-rime-api\src\deployment.rs","144","librime_abi","runtime paths initialized; optional task/schema/config pointers valid NUL-terminated strings when non-null","FALSE for failed task/deploy; unit shims return immediately","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeFreeContext","crates\yune-rime-api\src\ffi_memory.rs","312","librime_abi","caller output/free pointers must be null or valid for documented struct/lifetime","FALSE for invalid read/free where applicable; free functions otherwise no-op","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeFreeStatus","crates\yune-rime-api\src\ffi_memory.rs","334","librime_abi","caller output/free pointers must be null or valid for documented struct/lifetime","FALSE for invalid read/free where applicable; free functions otherwise no-op","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeFreeCommit","crates\yune-rime-api\src\ffi_memory.rs","355","librime_abi","caller output/free pointers must be null or valid for documented struct/lifetime","FALSE for invalid read/free where applicable; free functions otherwise no-op","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetModifierByName","crates\yune-rime-api\src\key_table.rs","1516","librime_abi","C pointers may be null only where documented; process-global registry","0/null/no-op depending on function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetModifierName","crates\yune-rime-api\src\key_table.rs","1529","librime_abi","C pointers may be null only where documented; process-global registry","0/null/no-op depending on function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetKeycodeByName","crates\yune-rime-api\src\key_table.rs","1546","librime_abi","C pointers may be null only where documented; process-global registry","0/null/no-op depending on function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetKeyName","crates\yune-rime-api\src\key_table.rs","1554","librime_abi","C pointers may be null only where documented; process-global registry","0/null/no-op depending on function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeSwitcherSettingsInit","crates\yune-rime-api\src\levers.rs","76","librime_abi","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversGetAvailableSchemaList","crates\yune-rime-api\src\levers.rs","103","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversGetSelectedSchemaList","crates\yune-rime-api\src\levers.rs","129","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversGetSchemaId","crates\yune-rime-api\src\levers.rs","155","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversGetSchemaName","crates\yune-rime-api\src\levers.rs","165","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversGetSchemaVersion","crates\yune-rime-api\src\levers.rs","175","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversGetSchemaAuthor","crates\yune-rime-api\src\levers.rs","189","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversGetSchemaDescription","crates\yune-rime-api\src\levers.rs","203","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversGetSchemaFilePath","crates\yune-rime-api\src\levers.rs","219","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversSelectSchemas","crates\yune-rime-api\src\levers.rs","235","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversGetHotkeys","crates\yune-rime-api\src\levers.rs","270","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversSetHotkeys","crates\yune-rime-api\src\levers.rs","292","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversSchemaListDestroy","crates\yune-rime-api\src\levers.rs","305","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversCustomSettingsInit","crates\yune-rime-api\src\levers.rs","316","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversCustomSettingsDestroy","crates\yune-rime-api\src\levers.rs","350","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversLoadSettings","crates\yune-rime-api\src\levers.rs","365","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversSaveSettings","crates\yune-rime-api\src\levers.rs","399","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversCustomizeBool","crates\yune-rime-api\src\levers.rs","436","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversCustomizeInt","crates\yune-rime-api\src\levers.rs","450","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversCustomizeDouble","crates\yune-rime-api\src\levers.rs","464","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversCustomizeString","crates\yune-rime-api\src\levers.rs","481","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
