owner_id,occurrence,m57_present_passes,current_present_runs,m57_passes_consistent,current_runs_consistent,m57_retained_bytes,current_retained_bytes,m57_item_count,current_item_count,m57_mapped_file_bytes,current_mapped_file_bytes,m57_shape,current_shape,status,interpretation
compact_table.preset_vocabulary,1,2,5,yes,yes,0,0,0,0,0,0,module=compact_table;structure=preset_vocabulary;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<PresetVocabularyEntry>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained preset vocabulary weights when the selected dictionary includes vocabulary packs,module=compact_table;structure=preset_vocabulary;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<PresetVocabularyEntry>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained preset vocabulary weights when the selected dictionary includes vocabulary packs,unchanged,normalized owner row; paths and session ids excluded
compact_table.preset_vocabulary,2,2,5,yes,yes,0,0,0,0,0,0,module=compact_table;structure=preset_vocabulary;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<PresetVocabularyEntry>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained preset vocabulary weights when the selected dictionary includes vocabulary packs,module=compact_table;structure=preset_vocabulary;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<PresetVocabularyEntry>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained preset vocabulary weights when the selected dictionary includes vocabulary packs,unchanged,normalized owner row; paths and session ids excluded
compact_table.stems,1,2,5,yes,yes,48,48,0,0,0,0,"module=compact_table;structure=stems;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=HashMap<String, Vec<String>>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained phrase-code stems needed for lookup records and dictionary panels","module=compact_table;structure=stems;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=HashMap<String, Vec<String>>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained phrase-code stems needed for lookup records and dictionary panels",unchanged,normalized owner row; paths and session ids excluded
compact_table.stems,2,2,5,yes,yes,48,48,0,0,0,0,"module=compact_table;structure=stems;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=HashMap<String, Vec<String>>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained phrase-code stems needed for lookup records and dictionary panels","module=compact_table;structure=stems;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=HashMap<String, Vec<String>>;evidence_source=yune_m43_memory_owner_profile_json;notes=retained phrase-code stems needed for lookup records and dictionary panels",unchanged,normalized owner row; paths and session ids excluded
compact_table.storage,1,2,5,yes,yes,15248382,15248410,241796,241796,15248382,15248410,module=compact_table;structure=storage;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=15248382;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=241796;mapped_file_bytes=15248382;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=table bytes are excluded from heap-owned branch triggers when mapped,module=compact_table;structure=storage;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=15248410;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=241796;mapped_file_bytes=15248410;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=table bytes are excluded from heap-owned branch triggers when mapped,changed_shape,normalized owner row; paths and session ids excluded
compact_table.storage,2,2,5,yes,yes,4640555,4640555,90780,90780,4640555,4640555,module=compact_table;structure=storage;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=4640555;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=90780;mapped_file_bytes=4640555;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=table bytes are excluded from heap-owned branch triggers when mapped,module=compact_table;structure=storage;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=4640555;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=90780;mapped_file_bytes=4640555;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=table bytes are excluded from heap-owned branch triggers when mapped,unchanged,normalized owner row; paths and session ids excluded
compact_table.syllabary_codes,1,2,5,yes,yes,4189674,4189674,114653,114653,0,0,module=compact_table;structure=syllabary_codes;byte_class=heap_owned_reducible;sharing_scope=session_or_process_heap;retained_estimate_bytes=4189674;non_overlapping_reducible_bytes=4189674;logical_bytes=0;item_count=114653;mapped_file_bytes=0;mapping_mode=Vec<String>;evidence_source=yune_m43_memory_owner_profile_json;notes=canonical code list retained for prism lookup,module=compact_table;structure=syllabary_codes;byte_class=heap_owned_reducible;sharing_scope=session_or_process_heap;retained_estimate_bytes=4189674;non_overlapping_reducible_bytes=4189674;logical_bytes=0;item_count=114653;mapped_file_bytes=0;mapping_mode=Vec<String>;evidence_source=yune_m43_memory_owner_profile_json;notes=canonical code list retained for prism lookup,unchanged,normalized owner row; paths and session ids excluded
compact_table.syllabary_codes,2,2,5,yes,yes,661218,661218,19975,19975,0,0,module=compact_table;structure=syllabary_codes;byte_class=heap_owned_reducible;sharing_scope=session_or_process_heap;retained_estimate_bytes=661218;non_overlapping_reducible_bytes=661218;logical_bytes=0;item_count=19975;mapped_file_bytes=0;mapping_mode=Vec<String>;evidence_source=yune_m43_memory_owner_profile_json;notes=canonical code list retained for prism lookup,module=compact_table;structure=syllabary_codes;byte_class=heap_owned_reducible;sharing_scope=session_or_process_heap;retained_estimate_bytes=661218;non_overlapping_reducible_bytes=661218;logical_bytes=0;item_count=19975;mapped_file_bytes=0;mapping_mode=Vec<String>;evidence_source=yune_m43_memory_owner_profile_json;notes=canonical code list retained for prism lookup,unchanged,normalized owner row; paths and session ids excluded
compact_table.syllable_ids_by_code,1,2,5,yes,yes,0,0,0,0,0,0,module=compact_table;structure=syllable_ids_by_code;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=byte-backed compact storage does not retain the rsmarisa syllable map,module=compact_table;structure=syllable_ids_by_code;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=byte-backed compact storage does not retain the rsmarisa syllable map,unchanged,normalized owner row; paths and session ids excluded
compact_table.syllable_ids_by_code,2,2,5,yes,yes,0,0,0,0,0,0,module=compact_table;structure=syllable_ids_by_code;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=byte-backed compact storage does not retain the rsmarisa syllable map,module=compact_table;structure=syllable_ids_by_code;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=byte-backed compact storage does not retain the rsmarisa syllable map,unchanged,normalized owner row; paths and session ids excluded
dictionary_lookup_filter.lookup_records,1,2,5,yes,yes,17498253,17498253,127144,127144,0,0,module=dictionary_lookup_filter;structure=lookup_records;byte_class=shared_or_overlapping;sharing_scope=shared_or_overlapping;retained_estimate_bytes=17498253;non_overlapping_reducible_bytes=0;logical_bytes=17498253;item_count=127144;mapped_file_bytes=0;mapping_mode=byte_backed_lookup_payload(byte_backed; mmap; index_bytes=5019536);evidence_source=yune_m43_memory_owner_profile_json;notes=TypeDuck dictionary-panel records decoded on demand from the compiled lookup payload,module=dictionary_lookup_filter;structure=lookup_records;byte_class=shared_or_overlapping;sharing_scope=shared_or_overlapping;retained_estimate_bytes=17498253;non_overlapping_reducible_bytes=0;logical_bytes=17498253;item_count=127144;mapped_file_bytes=0;mapping_mode=byte_backed_lookup_payload(byte_backed; mmap; index_bytes=5019536);evidence_source=yune_m43_memory_owner_profile_json;notes=TypeDuck dictionary-panel records decoded on demand from the compiled lookup payload,unchanged,normalized owner row; paths and session ids excluded
poet.abbreviation_vocabulary,1,2,5,yes,yes,0,0,0,0,0,0,module=poet;structure=abbreviation_vocabulary;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=upstream sentence model not retained for this translator,module=poet;structure=abbreviation_vocabulary;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=upstream sentence model not retained for this translator,unchanged,normalized owner row; paths and session ids excluded
poet.abbreviation_vocabulary,2,2,5,yes,yes,0,0,0,0,0,0,module=poet;structure=abbreviation_vocabulary;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=upstream sentence model not retained for this translator,module=poet;structure=abbreviation_vocabulary;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=upstream sentence model not retained for this translator,unchanged,normalized owner row; paths and session ids excluded
poet.entries_by_code,1,2,5,yes,yes,0,0,0,0,0,0,module=poet;structure=entries_by_code;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=upstream sentence model not retained for this translator,module=poet;structure=entries_by_code;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=upstream sentence model not retained for this translator,unchanged,normalized owner row; paths and session ids excluded
poet.entries_by_code,2,2,5,yes,yes,0,0,0,0,0,0,module=poet;structure=entries_by_code;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=upstream sentence model not retained for this translator,module=poet;structure=entries_by_code;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=upstream sentence model not retained for this translator,unchanged,normalized owner row; paths and session ids excluded
poet.lookup_index,1,2,5,yes,yes,0,0,0,0,0,0,module=poet;structure=lookup_index;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=upstream sentence model not retained for this translator,module=poet;structure=lookup_index;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=upstream sentence model not retained for this translator,unchanged,normalized owner row; paths and session ids excluded
poet.lookup_index,2,2,5,yes,yes,0,0,0,0,0,0,module=poet;structure=lookup_index;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=upstream sentence model not retained for this translator,module=poet;structure=lookup_index;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=none;evidence_source=yune_m43_memory_owner_profile_json;notes=upstream sentence model not retained for this translator,unchanged,normalized owner row; paths and session ids excluded
prism.corrections_tolerance,1,2,5,yes,yes,48,48,0,0,0,0,module=prism;structure=corrections_tolerance;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>;evidence_source=yune_m43_memory_owner_profile_json;notes=parsed prism correction/tolerance payload retained on heap,module=prism;structure=corrections_tolerance;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>;evidence_source=yune_m43_memory_owner_profile_json;notes=parsed prism correction/tolerance payload retained on heap,unchanged,normalized owner row; paths and session ids excluded
prism.corrections_tolerance,2,2,5,yes,yes,48,48,0,0,0,0,module=prism;structure=corrections_tolerance;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>;evidence_source=yune_m43_memory_owner_profile_json;notes=parsed prism correction/tolerance payload retained on heap,module=prism;structure=corrections_tolerance;byte_class=heap_owned_required;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>;evidence_source=yune_m43_memory_owner_profile_json;notes=parsed prism correction/tolerance payload retained on heap,unchanged,normalized owner row; paths and session ids excluded
prism.double_array_units,1,2,5,yes,yes,8388608,16777216,2097152,4194304,8388608,16777216,module=prism;structure=double_array_units;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=8388608;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=2097152;mapped_file_bytes=8388608;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=prism double-array units are read directly from the byte source,module=prism;structure=double_array_units;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=16777216;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=4194304;mapped_file_bytes=16777216;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=prism double-array units are read directly from the byte source,changed_shape,normalized owner row; paths and session ids excluded
prism.double_array_units,2,2,5,yes,yes,507904,962560,126976,240640,507904,962560,module=prism;structure=double_array_units;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=507904;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=126976;mapped_file_bytes=507904;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=prism double-array units are read directly from the byte source,module=prism;structure=double_array_units;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=962560;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=240640;mapped_file_bytes=962560;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=prism double-array units are read directly from the byte source,changed_shape,normalized owner row; paths and session ids excluded
prism.spelling_map,1,2,5,yes,yes,10965828,15362636,516286,693530,10965828,15362636,module=prism;structure=spelling_map;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=10965828;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=516286;mapped_file_bytes=10965828;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=prism spelling descriptors are read lazily from the byte source,module=prism;structure=spelling_map;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=15362636;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=693530;mapped_file_bytes=15362636;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=prism spelling descriptors are read lazily from the byte source,changed_shape,normalized owner row; paths and session ids excluded
prism.spelling_map,2,2,5,yes,yes,989228,1076420,49708,52338,989228,1076420,module=prism;structure=spelling_map;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=989228;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=49708;mapped_file_bytes=989228;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=prism spelling descriptors are read lazily from the byte source,module=prism;structure=spelling_map;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=1076420;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=52338;mapped_file_bytes=1076420;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=prism spelling descriptors are read lazily from the byte source,changed_shape,normalized owner row; paths and session ids excluded
prism.tips_payload,1,2,5,yes,yes,0,0,0,0,0,0,module=prism;structure=tips_payload;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=prism descriptor tips remain in the byte source,module=prism;structure=tips_payload;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=prism descriptor tips remain in the byte source,unchanged,normalized owner row; paths and session ids excluded
