input,key_index,prefix,last_key,run1_yune_total_us,run2_yune_total_us,run3_yune_total_us,run4_yune_total_us,run5_yune_total_us,yune_total_us,yune_process_us,yune_get_context_us,yune_free_context_us,yune_total_spread_pct,yune_candidate_count,yune_text_bytes,yune_comment_bytes,yune_preedit_bytes,yune_text_fnv1a64,yune_comment_fnv1a64,yune_preedit_fnv1a64,yune_snapshot_fnv1a64,run1_librime_total_us,run2_librime_total_us,run3_librime_total_us,run4_librime_total_us,run5_librime_total_us,librime_total_us,librime_process_us,librime_get_context_us,librime_free_context_us,librime_total_spread_pct,librime_candidate_count,librime_text_bytes,librime_comment_bytes,librime_preedit_bytes,librime_text_fnv1a64,librime_comment_fnv1a64,librime_preedit_fnv1a64,librime_snapshot_fnv1a64,yune_librime_total_ratio,faster_engine,candidate_count_exact,text_fnv1a64_exact,comment_fnv1a64_exact,preedit_fnv1a64_exact,snapshot_fnv1a64_exact
ceshiyixiachangjushuruxingnengzenyang,8,ceshiyix,x,45.561,45.853,45.229,45.562,45.395,45.561,45.000,0.458,0.083,1.4,5,39,10,8,63671670e7584867,6fdfdfdb20c893ec,549a541a66e04264,324798695f3a1efc,33.395,33.541,32.979,33.334,32.938,33.334,29.667,3.500,0.042,1.8,5,39,0,11,63671670e7584867,e4bc4fd9252be94f,64b6ba9c26f0636d,1a6bbe57162656f4,1.367,librime,yes,yes,no,no,no
ceshiyixiachangjushuruxingnengzenyang,9,ceshiyixi,i,31.750,32.250,31.520,31.730,31.771,31.750,31.209,0.458,0.083,2.3,5,45,10,9,ce973fff2f73502a,13e6171d2b94ba12,fb5199a02217f44c,028b02bbeeb49fad,22.770,22.605,22.584,23.001,22.334,22.605,19.167,3.416,0.042,3.0,5,39,0,12,0fa6f8ea5f36cb82,e4bc4fd9252be94f,95456c0acc8faa17,9975bfb7894444c5,1.405,librime,yes,no,no,no,no
ceshiyixiachangjushuruxingnengzenyang,10,ceshiyixia,a,28.292,28.562,28.083,28.230,28.229,28.230,27.625,0.500,0.125,1.7,5,24,18,10,2af2a9041090eb15,ee4da5c0b72ccc68,200e7931220afb2c,d8fbf13cdb799d6a,14.480,14.396,14.375,14.854,14.188,14.396,11.041,3.375,0.042,4.7,5,39,0,13,63671670e7584867,e4bc4fd9252be94f,bbd204044e2db34d,ae02943ae6fb617c,1.961,librime,yes,no,no,no,no
ceshiyixiachangjushuruxingnengzenyang,11,ceshiyixiac,c,60.896,61.250,60.334,61.001,60.834,60.896,60.334,0.500,0.083,1.5,5,39,0,11,63671670e7584867,e4bc4fd9252be94f,69926abc4ec4797e,e5932d323016146f,89.249,88.959,87.791,89.000,88.291,88.959,85.062,3.833,0.042,1.7,5,48,0,15,c0d1d71f52460a71,e4bc4fd9252be94f,13037bc43b70002e,d50bcac4a1a95ea1,0.685,yune,yes,no,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,12,ceshiyixiach,h,35.105,35.541,35.292,35.458,35.333,35.333,34.791,0.459,0.083,1.2,5,39,0,12,63671670e7584867,e4bc4fd9252be94f,89abfbd0ffa641b5,9f51b1f41b24cad2,152.416,152.604,149.416,150.730,150.208,150.730,146.708,3.833,0.042,2.1,5,48,0,16,c9d26c7df367eb74,e4bc4fd9252be94f,79128ad54f9197a9,1f3011df20828d15,0.234,yune,yes,no,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,13,ceshiyixiacha,a,38.333,38.668,38.460,38.688,38.542,38.542,38.041,0.417,0.083,0.9,5,48,0,13,8b93112aef2f02be,e4bc4fd9252be94f,dbdd6e3beb4bbb33,bff5cdc7c8ed281d,32.500,32.604,32.479,32.751,32.126,32.500,28.771,3.666,0.042,1.9,5,48,0,17,8b93112aef2f02be,e4bc4fd9252be94f,baabcf0c1a079753,7e0a98fe96530afd,1.186,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,14,ceshiyixiachan,n,40.812,41.082,40.791,40.980,40.916,40.916,40.416,0.417,0.083,0.7,5,48,0,14,7cef7fbf630ffff9,e4bc4fd9252be94f,b9d7d8019d075bf8,0fbfd2cba6da9afd,30.334,30.353,30.209,30.395,29.854,30.334,26.666,3.583,0.042,1.8,5,48,0,18,7cef7fbf630ffff9,e4bc4fd9252be94f,97c393634edc64bc,473ab6f9a1efbc75,1.349,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,15,ceshiyixiachang,g,43.833,44.022,43.647,43.793,43.710,43.793,43.291,0.416,0.083,0.9,5,48,0,15,f9aa97cb87bf5341,e4bc4fd9252be94f,ab5b187f5bf704d2,eba6c00dc3554fa1,31.626,31.541,31.542,31.646,31.001,31.542,27.959,3.542,0.042,2.1,5,48,0,19,f9aa97cb87bf5341,e4bc4fd9252be94f,7cbeccdc6fb95522,7851801c9132998d,1.388,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,16,ceshiyixiachangj,j,45.667,46.063,45.687,45.875,45.833,45.833,45.229,0.500,0.083,0.9,5,39,0,16,63671670e7584867,e4bc4fd9252be94f,1a7a80c72babec0f,d4468c5508018100,358.084,355.520,351.812,354.812,353.688,354.812,350.791,3.834,0.042,1.8,5,51,0,21,1a13bd63ae0e8890,e4bc4fd9252be94f,e1e9d79c8cca70ca,368144296e8bb828,0.129,yune,yes,no,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,17,ceshiyixiachangju,u,49.958,50.210,49.833,49.959,50.041,49.959,49.417,0.458,0.083,0.8,5,51,0,17,2c217e5e7b193bd3,e4bc4fd9252be94f,2825fa6904527cc5,2c24c48c67f36bce,41.418,41.416,41.333,41.355,40.896,41.355,37.667,3.625,0.042,1.3,5,51,0,22,2c217e5e7b193bd3,e4bc4fd9252be94f,ec31cc91b57242a6,e249a1cbbed43a0f,1.208,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,18,ceshiyixiachangjus,s,52.208,52.478,51.854,52.104,52.312,52.208,51.645,0.500,0.083,1.2,5,39,0,18,63671670e7584867,e4bc4fd9252be94f,3c5cbde256f0b965,c0fcaa149d29931e,341.958,341.229,335.938,337.270,338.708,338.708,334.895,3.959,0.042,1.8,5,54,0,24,267c5c03760fbf31,e4bc4fd9252be94f,a441305777a0bcc1,e324d1f7eb8ae8dc,0.154,yune,yes,no,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,19,ceshiyixiachangjush,h,53.626,53.708,53.228,53.541,53.666,53.626,53.083,0.500,0.083,0.9,5,39,0,19,63671670e7584867,e4bc4fd9252be94f,9085d95414976e00,6056040e48b6ff31,401.291,398.959,394.271,396.208,395.416,396.208,392.083,3.917,0.042,1.8,5,54,0,25,267c5c03760fbf31,e4bc4fd9252be94f,2afd2f4d1ec3b050,7a0e142413a33f07,0.135,yune,yes,no,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,20,ceshiyixiachangjushu,u,56.521,56.604,56.438,56.835,56.626,56.604,56.062,0.417,0.083,0.7,5,54,0,20,8300de7b21064280,e4bc4fd9252be94f,251723759f21525c,9ccad52351757b4c,47.311,46.792,47.209,47.145,46.208,47.145,43.230,3.792,0.042,2.4,5,54,0,26,8300de7b21064280,e4bc4fd9252be94f,ba53216d0c1a5d00,0c1ff7ff80c3f9f0,1.201,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,21,ceshiyixiachangjushur,r,57.771,57.604,57.543,57.937,57.916,57.771,57.229,0.459,0.083,0.7,5,39,0,21,63671670e7584867,e4bc4fd9252be94f,7914b89f4b44fff5,f3b693f7ddb1b14c,367.938,365.770,360.812,362.292,362.916,362.916,359.042,4.000,0.042,2.0,5,57,0,28,2e635d8d3761f0ae,e4bc4fd9252be94f,f826c0afe2637e18,e01f2226ebfc3b34,0.159,yune,yes,no,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,22,ceshiyixiachangjushuru,u,59.542,59.624,59.396,59.855,59.625,59.624,59.105,0.417,0.083,0.8,5,57,0,22,2e635d8d3761f0ae,e4bc4fd9252be94f,2f9278a582adf417,931c4386946d2a8b,50.229,49.876,50.208,49.938,49.375,49.938,46.021,3.875,0.042,1.7,5,57,0,29,2e635d8d3761f0ae,e4bc4fd9252be94f,2489c9ac9aadcefc,0f4f90ff3584ccc8,1.194,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,23,ceshiyixiachangjushurux,x,61.000,61.063,61.000,61.208,61.085,61.063,60.500,0.459,0.083,0.3,5,39,0,23,63671670e7584867,e4bc4fd9252be94f,5b8cc8035f092d2e,177847607928561b,369.584,366.416,362.542,364.354,363.855,364.354,359.979,4.041,0.042,1.9,5,60,0,31,c5f7b345b4328a46,e4bc4fd9252be94f,83cbad69c63900aa,39afe628b6f05a58,0.168,yune,yes,no,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,24,ceshiyixiachangjushuruxi,i,64.251,64.418,63.959,64.459,64.271,64.271,63.791,0.417,0.083,0.8,5,60,0,24,e71d359641d91b36,e4bc4fd9252be94f,e0895f4cec5f29de,b0807ba1cfc143e8,52.792,52.312,52.750,52.812,51.854,52.750,48.812,3.834,0.042,1.8,5,60,0,32,e71d359641d91b36,e4bc4fd9252be94f,81c73d6b0c79cd96,f7f480c6df55ea78,1.218,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,25,ceshiyixiachangjushuruxin,n,67.479,67.708,67.292,67.855,67.542,67.542,67.042,0.417,0.083,0.8,5,60,0,25,957534c3ac4c2bbb,e4bc4fd9252be94f,bccaeb220a986203,e41052ab0abb0bae,46.062,45.916,45.833,46.020,45.251,45.916,42.125,3.792,0.042,1.8,5,60,0,33,957534c3ac4c2bbb,e4bc4fd9252be94f,eb731f8452a62157,bff20d33e29d59ae,1.471,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,26,ceshiyixiachangjushuruxing,g,71.041,71.041,70.812,71.230,70.958,71.041,70.500,0.417,0.083,0.6,5,60,0,26,c5f7b345b4328a46,e4bc4fd9252be94f,c9344417616df2df,65922aebcde1fd79,46.750,46.459,46.062,46.500,45.834,46.459,42.646,3.750,0.042,2.0,5,60,0,34,c5f7b345b4328a46,e4bc4fd9252be94f,44b436fbeeda78cf,504de0fa4c7d5341,1.529,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,27,ceshiyixiachangjushuruxingn,n,72.791,72.499,72.584,72.938,72.916,72.791,72.208,0.500,0.083,0.6,5,39,0,27,63671670e7584867,e4bc4fd9252be94f,793b736e1e70f4b0,67f05aad79dec3fd,463.668,463.188,453.812,459.020,460.438,460.438,456.500,4.042,0.042,2.2,5,63,0,36,ecbce60d82cc408f,e4bc4fd9252be94f,47c04eb1315e697f,97c39c93a74b6bf2,0.158,yune,yes,no,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,28,ceshiyixiachangjushuruxingne,e,76.542,76.499,76.312,76.855,76.625,76.542,76.042,0.417,0.083,0.7,5,63,0,28,9aa1bc761eb2f1b3,e4bc4fd9252be94f,3d84c64a6317a0f8,255bd1efd898c641,59.437,59.438,59.229,59.167,58.605,59.229,55.438,3.791,0.042,1.4,5,63,0,37,9aa1bc761eb2f1b3,e4bc4fd9252be94f,094b9048a9170d31,0850697ca728ba92,1.292,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,29,ceshiyixiachangjushuruxingnen,n,80.499,80.335,80.292,80.958,80.521,80.499,80.000,0.417,0.083,0.8,5,63,0,29,23545515c883d876,e4bc4fd9252be94f,734517849526bbe1,54aa48622ffac475,50.937,50.730,50.459,50.790,50.334,50.730,46.916,3.750,0.042,1.2,5,63,0,38,23545515c883d876,e4bc4fd9252be94f,04aa407d0ef1c6e2,4f4fa920e82caafe,1.587,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,30,ceshiyixiachangjushuruxingneng,g,84.188,83.855,83.750,84.312,83.771,83.855,83.355,0.417,0.083,0.7,5,63,0,30,ecbce60d82cc408f,e4bc4fd9252be94f,68c819608ea1b1e5,5f64b5ecc84e0d34,51.395,51.499,50.834,51.666,50.791,51.395,47.542,3.750,0.042,1.7,5,63,0,39,ecbce60d82cc408f,e4bc4fd9252be94f,84458b74f10bce18,99160b2626cf4cd3,1.632,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,31,ceshiyixiachangjushuruxingnengz,z,86.666,86.292,86.333,86.791,86.416,86.416,85.833,0.500,0.083,0.6,5,39,0,31,63671670e7584867,e4bc4fd9252be94f,3212df1b869c2ad6,d8b50542720900fb,642.250,642.208,631.145,638.228,637.688,638.228,633.958,4.125,0.042,1.8,5,66,0,41,d1489c0dcbd26a35,e4bc4fd9252be94f,c10f4b59cf8f8d24,14259b37527cc86b,0.135,yune,yes,no,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,32,ceshiyixiachangjushuruxingnengze,e,90.562,90.374,90.146,90.730,90.541,90.541,89.979,0.458,0.084,0.6,5,66,0,32,062fc895c5a8a0d1,e4bc4fd9252be94f,a72aa926085c9c82,a7bad73dd450129f,69.480,68.980,68.709,69.625,67.666,68.980,65.270,3.792,0.042,2.9,5,66,0,42,062fc895c5a8a0d1,e4bc4fd9252be94f,56699bae8c6c6384,c99bd91a88af0fc1,1.313,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,33,ceshiyixiachangjushuruxingnengzen,n,94.417,94.229,94.104,94.897,94.291,94.291,93.708,0.500,0.083,0.8,5,66,0,33,9a86fe969e936d6c,e4bc4fd9252be94f,c7c9e1cb782244ff,20d845dbcabb6a1f,56.604,56.584,56.895,56.854,55.564,56.604,52.792,3.750,0.042,2.4,5,66,0,43,9a86fe969e936d6c,e4bc4fd9252be94f,4cbe23be27b8f539,08064eb5b53d3c59,1.666,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,34,ceshiyixiachangjushuruxingnengzeny,y,96.521,96.334,96.166,97.103,96.084,96.334,95.688,0.542,0.084,1.1,5,39,0,34,63671670e7584867,e4bc4fd9252be94f,e9d92e3126e368fd,2a00c56f1432d5be,786.646,784.646,770.917,776.979,773.229,776.979,772.604,4.208,0.042,2.0,5,69,0,45,b8c38bae39ba92ac,e4bc4fd9252be94f,8a0efd100df88568,f1d8477c2fa0a6fe,0.124,yune,yes,no,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,35,ceshiyixiachangjushuruxingnengzenya,a,99.916,99.334,99.270,99.875,99.334,99.334,98.792,0.500,0.084,0.7,5,69,0,35,2a4071965850bddb,e4bc4fd9252be94f,122b81658da5f073,f9b70bb338b52d4c,76.105,75.374,77.084,76.480,74.209,76.105,72.083,3.834,0.042,3.9,5,69,0,46,2a4071965850bddb,e4bc4fd9252be94f,735f7114c4396d34,9027e6abff5c12d9,1.305,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,36,ceshiyixiachangjushuruxingnengzenyan,n,103.854,104.188,103.499,104.562,103.605,103.854,103.292,0.458,0.083,1.0,5,69,0,36,f452ea3f3fb52d36,e4bc4fd9252be94f,7c6dec9086465488,e8b0714b5d59b96c,60.291,60.374,60.730,60.460,59.293,60.374,56.584,3.792,0.042,2.4,5,69,0,47,f452ea3f3fb52d36,e4bc4fd9252be94f,ff5c83eefcedecfd,2f0ad2e97ff826c9,1.720,librime,yes,yes,yes,no,no
ceshiyixiachangjushuruxingnengzenyang,37,ceshiyixiachangjushuruxingnengzenyang,g,107.062,106.874,106.855,107.688,106.812,106.874,106.333,0.459,0.083,0.8,5,69,0,37,b8c38bae39ba92ac,e4bc4fd9252be94f,ef323f539c6a7f0a,f8092ffa3e75f7b8,62.374,62.396,62.438,62.437,60.853,62.396,58.625,3.791,0.042,2.6,5,69,0,48,b8c38bae39ba92ac,e4bc4fd9252be94f,b7c1782055a49749,b5d8c1018c9121bb,1.713,librime,yes,yes,yes,no,no
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,1,z,z,119.312,118.708,118.834,117.895,120.459,118.834,118.209,0.542,0.084,2.2,5,15,8,1,df407c8f94fd04c7,8afef1407ef6ab6f,e498262632419df5,f5259ad387730e1e,13.625,13.688,13.354,13.500,13.209,13.500,9.459,3.959,0.042,3.6,5,15,0,1,9362c08ffe51784b,e4bc4fd9252be94f,e498262632419df5,df4fbfa86118c800,8.803,librime,yes,no,no,yes,no
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,2,zh,h,147.750,146.334,145.355,145.312,147.500,146.334,145.666,0.542,0.084,1.7,5,15,12,2,6d38d7b04f8dd604,2c239a70643f00ff,c7e468eae80a81fc,6a8c9901c12c4dde,56.771,56.459,56.375,56.480,55.605,56.459,49.521,6.833,0.042,2.1,5,21,0,2,f64d9390bd5a6254,e4bc4fd9252be94f,c7e468eae80a81fc,0cac7faea146f034,2.592,librime,yes,no,no,yes,no
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,3,zhe,e,14.187,14.167,14.146,14.250,14.291,14.187,13.583,0.500,0.125,1.0,5,15,15,3,d79f7b72883bf30e,262d5a92e9f03fa0,644f402419bcace0,2041d5b497d70857,12.833,12.832,12.625,12.812,12.541,12.812,9.583,3.167,0.042,2.3,5,15,0,3,d79f7b72883bf30e,e4bc4fd9252be94f,644f402419bcace0,13adc323df353d54,1.107,librime,yes,yes,no,yes,no
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,4,zheg,g,44.938,45.041,44.813,45.042,45.563,45.041,44.375,0.583,0.125,1.7,5,36,32,4,76827b4dd2bd36ea,58931d876258c952,8677fb0159fb6a1e,5c6d4f8351a1f899,117.020,115.729,116.666,116.917,114.938,116.666,112.541,4.084,0.042,1.8,5,30,0,5,bb2c41590df5710c,e4bc4fd9252be94f,9f2809b5c3a002f3,595477b3244bf97f,0.386,yune,yes,no,no,no,no
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,5,zhege,e,33.374,33.208,33.291,33.167,33.666,33.291,32.605,0.542,0.125,1.5,5,51,49,5,c6bea0b672fbed96,48a9c81eb5704a2c,9e583bb5c2ef08ae,e94de438bf131441,15.666,15.521,15.291,15.583,15.334,15.521,12.271,3.250,0.042,2.5,5,24,0,6,edde1a21e4982eb5,e4bc4fd9252be94f,824f501d37c8b109,05b4de92724bc968,2.145,librime,yes,no,no,no,no
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,6,zhegey,y,46.791,46.666,46.521,46.480,47.168,46.666,46.000,0.542,0.125,1.5,5,57,50,6,a99946d2f4dc3c34,0f6a416cdd7216b5,6d9a6d1e4d5d30a2,b9991ab2ed9ef11c,123.104,121.541,122.876,122.897,122.354,122.876,118.396,4.292,0.042,1.3,5,42,0,8,9c4c8251719222e5,e4bc4fd9252be94f,bf393081a4b0c970,208634ae48cca641,0.380,yune,yes,no,no,no,no
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,7,zhegeyi,i,35.522,35.105,35.334,35.291,35.668,35.334,34.791,0.458,0.084,1.6,5,39,9,7,9a237a9adc3455c4,529975b091684bd2,496ad2ad8613d432,cfaf03e71ffefce7,21.875,21.646,22.042,22.271,21.812,21.875,18.708,3.125,0.042,2.9,5,30,0,9,8de8f611943bc79d,e4bc4fd9252be94f,954d20bf77000718,2c495c778b07e1db,1.615,librime,yes,no,no,no,no
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,8,zhegeyin,n,36.416,35.855,35.918,36.125,36.749,36.125,35.625,0.417,0.083,2.5,5,30,0,8,19d36152456590c9,e4bc4fd9252be94f,3bfeae43e5565be3,ecd657e74d5b955a,17.749,17.646,17.625,17.667,17.271,17.646,14.625,3.000,0.042,2.8,5,30,0,10,19d36152456590c9,e4bc4fd9252be94f,2f922df608e159d5,d6ef4bd182bfb160,2.047,librime,yes,yes,yes,no,no
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,9,zhegeyinq,q,36.708,36.209,36.313,36.459,37.000,36.459,35.875,0.459,0.083,2.2,5,24,0,9,edde1a21e4982eb5,e4bc4fd9252be94f,c1fe31b74f5e2961,6ba6db1c314b59f2,328.333,325.938,328.729,330.520,325.730,328.333,324.020,4.209,0.042,1.5,5,39,0,12,82d16b05048fcf36,e4bc4fd9252be94f,c36d9c02e996f280,911cc5999c63e800,0.111,yune,yes,no,yes,no,no
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,10,zhegeyinqi,i,37.938,37.437,37.605,37.708,38.541,37.708,37.208,0.417,0.083,3.0,5,33,0,10,37ff89d5345fbbd4,e4bc4fd9252be94f,63c86353b34efe03,57d2ff9149117e95,26.582,27.124,26.938,27.083,27.166,27.083,23.959,3.083,0.042,2.2,5,33,0,13,37ff89d5345fbbd4,e4bc4fd9252be94f,0110fd11093a7498,e8e34ef8c1394dba,1.392,librime,yes,yes,yes,no,no
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,11,zhegeyinqin,n,40.166,39.667,39.793,39.833,40.916,39.833,39.334,0.416,0.083,3.1,5,33,0,11,b57742017528a52d,e4bc4fd9252be94f,f86869baec4b9f80,f58c12dcac8d8c05,21.084,21.062,20.833,21.041,20.626,21.041,17.938,3.000,0.042,2.2,5,33,0,14,b57742017528a52d,e4bc4fd9252be94f,b46713ac94bd8569,9c5c496d9d3c29ee,1.893,librime,yes,yes,yes,no,no
zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,12,zhegeyinqing,g,41.541,41.291,41.374,41.374,42.166,41.374,40.875,0.375,0.083,2.1,5,33,0,12,4457551476d9d311,e4bc4fd9252be94f,617ec3df0de1f426,46180d9db72d9fdd,21.501,21.375,21.166,21.333,21.042,21.333,18.270,2.958,0.042,2.2,5,33,0,15,4457551476d9d311,e4bc4fd9252be94f,fd59b1458d4a4b59,d96cc182dc20e3bc,1.939,librime,yes,yes,yes,no,no
