"dictionary_commit","dictionary_tree","dictionary_manifest_sha256","dictionary_import_tables","opencc_sha256","opencc_line","key","outputs","code","siblings","locations"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","8","妝","妝 粧","zong1","妝 粧","妝@jyut6ping3.chars.dict.yaml:33697;粧@jyut6ping3.chars.dict.yaml:33704"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","9","媼","媪 媼","ou2","媪 媼","媪@jyut6ping3.chars.dict.yaml:23969;媼@jyut6ping3.chars.dict.yaml:23970"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","10","嬀","媯 嬀","gwai1","媯 嬀","媯@jyut6ping3.chars.dict.yaml:10186;嬀@jyut6ping3.chars.dict.yaml:10187"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","11","悅","悦 悅","jyut6","悦 悅","悦@jyut6ping3.chars.dict.yaml:16616;悅@jyut6ping3.chars.dict.yaml:16615"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","12","慍","愠 慍","wan3","愠 慍","愠@jyut6ping3.chars.dict.yaml:30008;慍@jyut6ping3.chars.dict.yaml:30009"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","13","戶","户 戶","wu6","户 戶","户@jyut6ping3.chars.dict.yaml:30627;戶@jyut6ping3.chars.dict.yaml:30626"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","14","挩","捝 挩","seoi3","捝 挩","捝@jyut6ping3.chars.dict.yaml:26071;挩@jyut6ping3.chars.dict.yaml:26070"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","14","挩","捝 挩","tyut3","捝 挩","捝@jyut6ping3.chars.dict.yaml:29374;挩@jyut6ping3.chars.dict.yaml:29373"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","15","搵","揾 搵","wan3","揾 搵","揾@jyut6ping3.chars.dict.yaml:30010;搵@jyut6ping3.chars.dict.yaml:30011"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","16","擡","抬 擡","toi4","抬 擡","抬@jyut6ping3.chars.dict.yaml:28913;擡@jyut6ping3.chars.dict.yaml:28914"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","17","敓","敚 敓","dyut6","敚 敓","敚@jyut6ping3.chars.dict.yaml:6279;敓@jyut6ping3.chars.dict.yaml:6278"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","18","敘","敍 敘","zeoi6","敍 敘","敍@jyut6ping3.chars.dict.yaml:32129;敘@jyut6ping3.chars.dict.yaml:32130"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","19","教","教 敎","gaau1","教 敎","教@jyut6ping3.chars.dict.yaml:8154;敎@jyut6ping3.chars.dict.yaml:8153"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","19","教","教 敎","gaau3","教 敎","教@jyut6ping3.chars.dict.yaml:8193;敎@jyut6ping3.chars.dict.yaml:8192"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","20","柺","枴 柺","gwaai2","枴 柺","枴@jyut6ping3.chars.dict.yaml:10126;柺@jyut6ping3.chars.dict.yaml:10127"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","21","梲","棁 梲","zyut3","棁 梲","棁@jyut6ping3.chars.dict.yaml:34316;梲@jyut6ping3.chars.dict.yaml:34315"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","22","棱","稜 棱","ling4","稜 棱","稜@jyut6ping3.chars.dict.yaml:19667;棱@jyut6ping3.chars.dict.yaml:19646"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","23","榲","榅 榲","wan1","榅 榲","榅@jyut6ping3.chars.dict.yaml:29958;榲@jyut6ping3.chars.dict.yaml:29959"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","23","榲","榅 榲","wat1","榅 榲","榅@jyut6ping3.chars.dict.yaml:30216;榲@jyut6ping3.chars.dict.yaml:30217"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","24","檯","枱 檯","toi2","枱 檯","枱@jyut6ping3.chars.dict.yaml:28900;檯@jyut6ping3.chars.dict.yaml:28901"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","24","檯","枱 檯","toi4","枱 檯","枱@jyut6ping3.chars.dict.yaml:28917;檯@jyut6ping3.chars.dict.yaml:28918"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","25","氳","氲 氳","wan1","氲 氳","氲@jyut6ping3.chars.dict.yaml:29961;氳@jyut6ping3.chars.dict.yaml:29962"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","26","涗","涚 涗","seoi3","涚 涗","涚@jyut6ping3.chars.dict.yaml:26075;涗@jyut6ping3.chars.dict.yaml:26074"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","27","溫","温 溫","wan1","温 溫","温@jyut6ping3.chars.dict.yaml:29963;溫@jyut6ping3.chars.dict.yaml:29964"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","28","溼","濕 溼","sap1","濕 溼","濕@jyut6ping3.chars.dict.yaml:25701;溼@jyut6ping3.chars.dict.yaml:25698"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","29","潙","溈 潙","gwai1","溈 潙","溈@jyut6ping3.chars.dict.yaml:10193;潙@jyut6ping3.chars.dict.yaml:10194"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","30","潨","潀 潨","zung1","潀 潨","潀@jyut6ping3.chars.dict.yaml:33959;潨@jyut6ping3.chars.dict.yaml:33961"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","31","熅","煴 熅","wan1","煴 熅","煴@jyut6ping3.chars.dict.yaml:29965;熅@jyut6ping3.chars.dict.yaml:29966"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","31","熅","煴 熅","wan6","煴 熅","煴@jyut6ping3.chars.dict.yaml:30141;熅@jyut6ping3.chars.dict.yaml:30142"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","32","爲","為 爲","wai4","為 爲","為@jyut6ping3.chars.dict.yaml:29815;爲@jyut6ping3.chars.dict.yaml:29816"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","32","爲","為 爲","wai6","為 爲","為@jyut6ping3.chars.dict.yaml:29914;爲@jyut6ping3.chars.dict.yaml:29917"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","33","癡","痴 癡","ci1","痴 癡","痴@jyut6ping3.chars.dict.yaml:3015;癡@jyut6ping3.chars.dict.yaml:3016"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","34","皁","皂 皁","zou6","皂 皁","皂@jyut6ping3.chars.dict.yaml:33795;皁@jyut6ping3.chars.dict.yaml:33794"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","35","真","真 眞","zan1","真 眞","真@jyut6ping3.chars.dict.yaml:31546;眞@jyut6ping3.chars.dict.yaml:31545"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","36","祕","秘 祕","bai3","秘 祕","秘@jyut6ping3.chars.dict.yaml:616;祕@jyut6ping3.chars.dict.yaml:615"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","36","祕","秘 祕","bei3","秘 祕","秘@jyut6ping3.chars.dict.yaml:961;祕@jyut6ping3.chars.dict.yaml:960"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","37","稅","税 稅","seoi3","税 稅","税@jyut6ping3.chars.dict.yaml:26082;稅@jyut6ping3.chars.dict.yaml:26081"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","38","竈","灶 竈","zou3","灶 竈","灶@jyut6ping3.chars.dict.yaml:33785;竈@jyut6ping3.chars.dict.yaml:33786"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","39","糉","粽 糉 糭","zung2","粽 糉 糭","粽@jyut6ping3.chars.dict.yaml:34046;糉@jyut6ping3.chars.dict.yaml:34047;糭@jyut6ping3.chars.dict.yaml:34048"
"c99b16e44d2df77a5cb8fb0867dd2bab7a112cb0","eb193fb80675ffa60df3c32bf24afa7d7f68617a","4301001fb7bb52d5d1a9c032c519ac18ba50677e926e01006e34a48788385efa","jyut6ping3.chars;jyut6ping3.words;jyut6ping3.phrase;jyut6ping3.lettered;jyut6ping3.maps","145b561c68a697d5f2197da0c091caf4a0e9457f0a4c56cdf2ae7ad4b8ff8cc2","39","糉","粽 糉 糭","zung3","粽 糉 糭","粽@jyut6ping3.chars.dict.yaml:34076;糉@jyut6ping3.chars.dict.yaml:34077;糭@jyut6ping3.chars.dict.yaml:34078"
